timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2024/09/07 08:34:17.289, 0, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.300, 1, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.310, 2, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.319, 3, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.328, 4, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.341, 5, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.351, 6, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.363, 7, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.375, 8, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:17.385, 9, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
