timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2024/09/07 08:34:01.165, 0, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.177, 1, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.188, 2, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.200, 3, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.210, 4, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.221, 5, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.229, 6, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.240, 7, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.251, 8, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:01.261, 9, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
