timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2024/07/22 12:08:11.197, 0, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.210, 1, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.220, 2, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.234, 3, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.248, 4, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.263, 5, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.275, 6, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.289, 7, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.303, 8, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
2024/07/22 12:08:11.318, 9, NVIDIA RTX A4000, 0 %, 187 MiB, 16376 MiB
